Combination Number,Num Particles,Window Length (m),Animation Interval (ms),Window Attraction Strength,AC Repulsion Strength,Num Runs,n-times Elapsed Time (s),Average Escape Time (s),Similarity
3,30276,1.0,0.5,0.05,0,5,5.466650486,1.092498207,0.07695098768355747
4,30276,1.0,0.5,0.05,0,5,7.812854052,1.562047052,0.06712172668808589
5,30276,1.0,0.5,0.05,0,5,6.297860384,1.259160137,0.005998310871468489
6,30276,1.0,0.5,0.05,0,5,6.523166656,1.303957796,0.10625083549262725
7,30276,1.0,0.5,0.05,0,5,5.125743151,1.024670029,0.14451686397357777
8,30276,1.0,0.5,0.05,0,5,4.962712288,0.991790438,0.12254390099958583
9,30276,1.0,0.5,0.05,0,5,8.49816823,1.697417879,0.16114166992711154
10,30276,1.0,0.5,0.05,0,5,6.580771923,1.314547443,0.15495643462141578
11,30276,1.0,0.5,0.05,0,5,5.49639535,1.098714685,0.07643411091605674
12,30276,1.0,0.5,0.05,0,5,5.015154123,1.002394247,0.11766789742662435
13,30276,1.0,0.5,0.05,0,5,7.17106986,1.433813953,0.05914182556760291
14,30276,1.0,0.5,0.05,0,5,5.777375698,1.154654741,0.053664912516507964
15,30276,1.0,0.5,0.05,0,5,5.010863543,1.001506519,0.0993668362663174
16,30276,1.0,0.5,0.05,0,5,6.557588339,1.311003065,0.14432963929828277
17,30276,1.0,0.5,0.05,0,5,5.654689074,1.13050766,0.09656910433831545
18,30276,1.0,0.5,0.05,0,5,5.351466894,1.069777822,0.03708251558210228
19,30276,1.0,0.5,0.05,0,5,8.13353157,1.626178217,0.32659972061907366
20,30276,1.0,0.5,0.05,0,5,7.636117935,1.526562071,0.0689817339958934
21,30276,1.0,0.5,0.05,0,5,6.658967018,1.331087875,0.07684131433823407
22,30276,1.0,0.5,0.05,0,5,6.429531574,1.284962559,0.02719605474413643
23,30276,1.0,0.5,0.05,0,5,14.80743098,2.959346056,0.6364607325345017
24,30276,1.0,0.5,0.05,0,5,10.44383335,2.086239815,0.4547040025857622
25,30276,1.0,0.5,0.05,0,5,7.618854523,1.523120403,0.12246202760380782
26,30276,1.0,0.5,0.05,0,5,6.414774895,1.282226372,0.07950829857869654
27,30276,1.0,0.5,0.05,0,5,5.702526093,1.140007162,0.14282995646757476
28,30276,1.0,0.5,0.05,0,5,4.768138647,0.952759314,0.10554449561546952
29,30276,1.0,0.5,0.05,0,5,6.437180519,1.286544228,0.08356861119959867
30,30276,1.0,0.5,0.05,0,5,5.058885813,1.010898781,0.12352726865920904
31,30276,1.0,0.5,0.05,0,5,9.396152258,1.878167439,0.40602881529501583
32,30276,1.0,0.5,0.05,0,5,8.956312418,1.790297556,0.23267741429618413
33,30276,1.0,0.5,0.05,0,5,7.234989882,1.44596014,0.1733238426018471
34,30276,1.0,0.5,0.05,0,5,5.288125992,1.0570261,0.09664297476405909
35,30276,1.0,0.5,0.05,0,5,7.54227376,1.507876635,0.11343518445050452
36,30276,1.0,0.5,0.05,0,5,7.5797019,1.514854765,0.13104241150897172
37,30276,1.0,0.5,0.05,0,5,6.602504969,1.319993639,0.2234134403819142
38,30276,1.0,0.5,0.05,0,5,5.429819107,1.085224009,0.2128179742329367
39,30276,1.0,0.5,0.05,0,5,5.029044151,1.004991293,0.28828591303385764
40,30276,1.0,0.5,0.05,0,5,6.384290218,1.276744699,0.24456230011028843
41,30276,1.0,0.5,0.05,0,5,5.625802517,1.124390364,0.2085312281066487
42,30276,1.0,0.5,0.05,0,5,5.127878428,1.024901819,0.2678919791023545
43,30276,1.0,0.5,0.05,0,5,6.342477083,1.267609692,0.2064096925533089
44,30276,1.0,0.5,0.05,0,5,7.677758694,1.534336424,0.2055261021494945
45,30276,1.0,0.5,0.05,0,5,5.111582518,1.022115421,0.2948191403650964
46,30276,1.0,0.5,0.05,0,5,7.180244207,1.435440016,0.1407299694953536
47,30276,1.0,0.5,0.05,0,5,7.763721943,1.552315807,0.07467993903845956
48,30276,1.0,0.5,0.05,0,5,5.959007263,1.191338491,0.14809143163698868
49,30276,1.0,0.5,0.05,0,5,5.134642839,1.026147556,0.16392291875025192
50,30276,1.0,0.5,0.05,0,5,6.382712126,1.275963354,0.3172052750262702
51,30276,1.0,0.5,0.05,0,5,5.906517744,1.180980253,0.09046163245088452
52,30276,1.0,0.5,0.05,0,5,6.024750233,1.204120684,0.0895702561140054
53,30276,1.0,0.5,0.05,0,5,7.062463522,1.411980581,0.09325883883392994
54,30276,1.0,0.5,0.05,0,5,7.02349782,1.403940773,0.09535954367150813
55,30276,1.0,0.5,0.05,0,5,5.426160097,1.084600973,0.13584137931918583
56,30276,1.0,0.5,0.05,0,5,4.912953615,0.981824017,0.08817322430054789
57,30276,1.0,0.5,0.05,0,5,6.348850727,1.26853981,0.10387320665498208
58,30276,1.0,0.5,0.05,0,5,5.846986294,1.168428421,0.18367093408821905
59,30276,1.0,0.5,0.05,0,5,5.420291901,1.083160591,0.1637935783816338
60,30276,1.0,0.5,0.05,0,5,9.463878632,1.891816664,0.14110552987533193
61,30276,1.0,0.5,0.05,0,5,7.371177435,1.473059845,0.027745272768643615
62,30276,1.0,0.5,0.05,0,5,6.378727198,1.274654007,0.0021185645514306974
63,30276,1.0,0.5,0.05,0,5,5.47742939,1.094401407,0.039977470542581425
